شناسه,لینک_مستقیم,عنوان,روستا,روستا_مطمئن,دسته_پرونده,نوع_مبهم,نوع_کلبه_از_API,متراژ_بنا_م2,متراژ_زمین_م2,تعداد_اتاق_خواب,ظرفیت_پایه,ظرفیت_حداکثر,امتیاز_کلی,تعداد_نظرات_API,امتیاز_دقت,امتیاز_ارتباط,امتیاز_پاکیزگی,امتیاز_موقعیت,امتیاز_تحویل,امتیاز_ارزش,تاریخ_اولین_نظر,تاریخ_آخرین_نظر,نشان_ها,میزبان_نام,میزبان_عضویت_از,میزبان_نرخ_پذیرش_درصد,میزبان_زمان_پاسخ_دقیقه,حداقل_شب,حداکثر_شب,شرایط_لغو,ملک_دربست_یا_مشترک,هزینه_نفر_اضافه_تومان,جکوزی,محل_جکوزی,استخر,گرمایش_استخر,چشم_انداز_جنگل,چشم_انداز_رودخانه,حیاط_اختصاصی_محصور,حریم_خصوصی,حضور_میزبان_یا_واحد_دیگر,پارکینگ,کیفیت_مسیر,اینترنت_وای_فای,سرمایش,گرمایش,حیوان_خانگی,موقعیت_توضیح,طول_جغرافیایی,عرض_جغرافیایی,وضعیت_API,منابع_شناسایی
3180480,/room/3180480,اجاره ویلا در پارک جنگلی بزچفت - طبقه همکف,بزچفت,بله,other,,ویلا,95,1200,2,4,7,4.2,5,4,4.6,3.6,4.6,4.8,3.8,2023-12-13,2025-06-03,,احمد,2023-01-10,100,475,2,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),500000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ۳۶۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی، یک شعله بخاری گازی در هر دو اتاق خواب,پذیرش (قانون صریح),,52.7774,36.3732,active,db
3183378,/room/3183378,اجاره سوئیت در بابلکنار - مرزیکلا,مرزیکلا,بله,other,,آپارتمان، سوئیت,50,80,1,2,6,4.8,117,4.8,5,4.7,4.6,4.8,4.7,2023-04-21,2026-08-25,اقامتگاه پلاس,رضا,2023-02-12,89,192,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),200000,,,,,,,ذکر شده,مستر با حیاطی دلباز و چشم انداز شالیزار و طبیعت در طبقه اول یک ,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت دو منظوره ۱۸۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7361,36.3626,active,db
3184319,/room/3184319,خانه تراس دار در بابلکنار - نزدیک مرزیکلا,مرزیکلا,بله,other,,ویلا,70,200,0,4,8,4.3,23,4.2,4.8,4,4,4.8,4.2,2023-03-27,2026-08-27,,پیام,2023-02-26,75,384,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),500000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,,بخاری گازی دارند.,پذیرش (قانون صریح),,52.7465,36.3754,active,db
3184681,/room/3184681,سوئیت حیاط دار در بابلکنار - درونکلای شرقی,درونکلا,بله,other,,ویلا,70,300,1,4,6,4.1,6,3.7,4.7,4,4.2,4.8,3.3,2023-12-06,2025-09-09,,فرزین,2023-04-15,33,518,1,,متوسط,دربست,400000,,,,,,,ذکر شده,دنج از روستای درونکلا و در جاده گنج افروز با فاصله حدود ۲۰ کیلو,,ذکر شده,,,سالن پذیرایی اسپلیت ۱۸۰۰۰دارد.,سالن پذیرایی بخاری گازی دارد.,پذیرش (قانون صریح),,52.7364,36.3932,active,db
3186780,/room/3186780,ویلا استخردار در بابلکنار - کاردرکلا,کاردرکلا,بله,other,,ویلا,150,3000,2,4,6,4.6,19,4.6,4.7,4.3,4.7,4.9,4.3,2024-09-15,2026-08-13,اقامتگاه پلاس,محمد,2024-04-27,73,410,1,,متوسط,دربست,800000,دارد,4 نفره,دارد,,,,ذکر شده,دنج و سرسبز در جاده لفور در روستای خوش آب و هوای کاردرکلا با فا,,ذکر شده,,,یک دستگاه اسپلیت 24000 در پذیرایی,پکیج - شوفاژ,پذیرش (قانون صریح),,52.7575,36.3083,active,cabins، db
3187135,/room/3187135,ویلا در بابلکنار - شیردارکلا,شیردارکلا,بله,other,,ویلا,130,1000,2,5,8,4.6,18,4.5,4.9,4.1,4.7,5,4.5,2023-09-22,2026-06-02,اقامتگاه پلاس,پیمان,2023-09-03,95,246,1,,متوسط,دربست,300000,,,,,,,ذکر شده,مستر است با دسترسی 5 پله دارای ایوان دنج با تخت سنتی و حیاطی دل,,ذکر شده,,,یک دستگاه کولر اسپلیت ۲۴۰۰۰ در پذیرایی و یک دستگاه کولر اسپیلت ۱۶۰۰۰ در یک اتاق خواب,یک شعله بخاری گازی در پذیرایی و یک شعله بخاری گازی در یک اتاق خواب و یک شعله بخاری برقی در اتاق خواب دیگر,پذیرش (قانون صریح),,52.7731,36.3389,active,cabins، db
3193646,/room/3193646,اجاره ویلا در بابلکنار - سیدکلا,سیدکلا,بله,other,,ویلا,84,150,1,3,6,5,8,5,5,5,5,5,5,2023-06-28,2026-03-06,,امیرحسین,2023-06-20,13,486,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),350000,دارد,4 نفره,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,اسپیلت ۲۴۰۰۰ یک دستگاه در پذیرایی,یک شعله بخاری گازی در پذیرایی و یک شعله شومینه اتاق خواب,پذیرش (قانون صریح),,52.7894,36.3116,active,cabins، db
3193739,/room/3193739,سوئیت دو خوابه در بابلکنار - نزدیک مرزیکلا,مرزیکلا,بله,other,,کلبه، سوئیت,60,700,2,4,4,5,5,5,5,5,5,5,5,2024-05-01,2025-12-31,,فتحعلی,2019-06-20,100,84,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),300000,,,,,,,,مستر دارد، با حیاطی دلباز و دسترسی حدود ۵ پله در مجموعه ای اقام,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ۲۴۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.739,36.3544,active,db، sweep
3193912,/room/3193912,خانه تراسدار در جاده گنج افروز - درونکلا شرقی,درونکلا,بله,other,,آپارتمان، ویلا,100,6000,1,6,7,4.8,26,4.8,4.9,5,4.7,5,4.7,2023-05-11,2026-05-22,,عاطفه,2023-04-25,89,269,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),300000,,,,,,,ذکر شده,دنج از روستای درونکلا شرقی و در جاده گنج افروز با فاصله حدود ۲۰,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپیلت ۲۴۰۰۰ در پذیرایی,رادیاتور و بخاری برقی,,,52.7212,36.3843,active,db
3194026,/room/3194026,سوئیت حیاط دار بابلکنار - نزدیک مرزیکلا,مرزیکلا,بله,other,,کلبه، سوئیت,80,600,2,4,4,4.9,3,5,5,4.7,4.7,5,5,2024-04-09,2026-08-06,,فتحعلی,2019-06-20,100,84,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),300000,,,,,,,,مستر دارد، با حیاطی دلباز و دسترسی حدود ۱۰ پله در مجموعه ای اقا,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ۲۴۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7391,36.3541,active,db، sweep
3194756,/room/3194756,اجاره خانه تراس دار در بابلکنار - کاردرکلا,کاردرکلا,بله,other,,ویلا,120,1200,2,4,10,4.6,40,4.8,4.7,4.7,4.6,5,4,2023-06-23,2026-08-13,اقامتگاه پلاس؛ رزرو فوری,خدیجه,2023-05-13,97,174,1,,متوسط,دربست,600000,,,,,,,ذکر شده,دنج و تراس با چشم انداز زیبا در روستای خوش آب و هوا کاردرکلا و ,,ذکر شده,,,اسپیلت ۱۸۰۰۰ یک دستگاه در پذیرایی,یک شعله بخاری گازی در پذیرایی و یک شعله در اتاق خواب,پذیرش (قانون صریح),,52.7631,36.3043,active,cabins، db
3195049,/room/3195049,خانه روستایی در بابلکنار - کاردرکلا,کاردرکلا,بله,other,,خانه روستایی,50,5000,0,2,4,4.9,20,4.8,5,5,5,5,4.8,2023-06-17,2026-08-26,اقامتگاه پلاس؛ رزرو فوری,خدیجه,2023-05-13,97,196,1,,متوسط,دربست,500000,,,,,,,ذکر شده,دنج و سرسبز در جاده لفور در روستای خوش آب و هوای کاردرکلا واقع ,,ذکر شده,,,یک دستگاه اسپلیت ۱۲۰۰۰,یک شعله بخاری گازی,پذیرش (قانون صریح),,52.7574,36.2898,active,cabins، db
3195053,/room/3195053,خانه روستایی دوبلکس در بابلکنار - کاردرکلا,کاردرکلا,بله,other,,خانه روستایی,90,5000,2,4,8,4.5,4,4.8,4.3,4.8,4.3,5,4.3,2023-10-25,2026-07-16,,خدیجه,2023-05-13,97,174,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),620000,,,,,,,ذکر شده,دنج و سرسبز در جاده لفور در روستای خوش آب و هوای کاردرکلا واقع ,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ۱۸۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی، یک شعله بخاری گازی در یک اتاق خواب,پذیرش (قانون صریح),,52.756,36.29,active,cabins، db
3195057,/room/3195057,خانه ویلایی در لفور - امام کلا,لفور,بله,other,,کلبه، ویلا,60,500,1,4,6,4.8,40,4.8,4.9,4.9,4.5,4.9,4.7,2023-06-01,2026-08-25,اقامتگاه پلاس؛ رزرو فوری,رامین,2023-05-21,94,280,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),500000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,اسپیلت ۱۲۰۰۰ یک دستگاه در پذیرایی,سالن پذیرایی و اتاق خواب بخاری گازی دارد.,پذیرش (قانون صریح),,52.7006,36.1887,active,corpus
3196488,/room/3196488,اجاره خانه ویلایی در بابلکنار - چهره,چهره,بله,other,,کلبه، خانه روستایی، ویلا,40,100,1,4,6,4.9,12,4.7,4.8,4.8,5,5,5,2024-05-14,2026-08-19,,سعید,2023-05-18,23,248,1,,آسان,مشترک (فضای مشترک با میزبان یا مهمان دیگر),200000,,,,,ذکر شده,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپیلت ۱۲۰۰۰ در بالا,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7177,36.3464,active,db، sweep
3197092,/room/3197092,خانه تراس دار در بابلکنار - کاردرکلا,کاردرکلا,بله,other,,ویلا,120,2000,2,4,8,4.9,18,5,5,4.9,5,5,4.7,2023-08-02,2026-08-27,اقامتگاه پلاس,یوسف,2023-05-29,95,106,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),500000,,,,,,,ذکر شده,دنج و چشم اندازی زیبا و سرسبز در طبقه دوم یک ساختمان دو طبقه در,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپیلت ۲۴۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی، یک شعله بخاری گازی در هر دو اتاق خواب,پذیرش (قانون صریح),,52.7619,36.3013,active,cabins، db
3199105,/room/3199105,کلبه چوبی با وان جکوزی در بابلکنار - هلی خال,,نامطمئن,other,,کلبه، کلبه سوئیسی، ویلا، کلبه چوبی,50,250,1,2,2,4.8,10,5,5,4.4,4.6,5,4.6,2023-09-29,2026-08-08,,علی,2022-07-23,74,268,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),200000,دارد,وان جکوزی,,,ذکر شده,,,دنج و طراحی داخلی چوب و سنگ در محیطی جنگلی در روستای هلی خال من,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ۱۲۰۰۰ در اتاق خواب طبقه بالا,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7049,36.3323,active,db، sweep
3200148,/room/3200148,اجاره ویلا در بابلکنار - کاردرکلا,کاردرکلا,بله,other,,ویلا,100,1500,1,4,10,4.8,11,4.9,4.7,5,4.6,4.9,4.5,2023-10-11,2025-11-19,,محمد,2023-08-06,47,194,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),600000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,اسپیلت ۲۴۰۰۰ یک دستگاه در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7692,36.3048,active,cabins، db
3200222,/room/3200222,اجاره ویلا استخردار در بابلکنار - کلاریکلا,کلاریکلا,بله,other,,ویلا,120,160,1,4,6,4,39,4.1,4.2,3.9,3.8,4.6,3.7,2023-12-13,2026-06-27,,امیر,2023-07-31,75,292,1,,سخت,دربست,400000,,,دارد,استخر آبگرم سرپوشیده و بالکنی با چشم انداز زیبا در ,,,ذکر شده,,,ذکر شده,,,یک دستگاه اسپلیت ۲۴ هزار در پذیرایی,پکیج - رادیاتور و یک شعله بخاری گازی در پذیرایی,,,52.714,36.3644,active,db
3200473,/room/3200473,ویلا در بابل - درازکلا,درازکلا,بله,other,,ویلا,90,1000,1,2,6,4.4,10,4.5,4.9,4,3.6,4.9,4.4,2024-10-09,2026-07-22,,مجتبی,2023-07-05,92,355,1,,متوسط,دربست,150000,,,,,,,ذکر شده,,,ذکر شده,,,,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7107,36.34,active,db
3200572,/room/3200572,اجاره سوئیت در بابل - مرزیکلا,مرزیکلا,بله,other,,سوئیت,60,90,1,2,6,4.9,4,5,5,5,4.5,5,4.8,2023-10-23,2024-11-06,,عرشیا,2023-07-03,57,150,1,,متوسط,دربست,300000,,,,,,,ذکر شده,,,,,,یک دستگاه اسپیلت ۳۰۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7505,36.362,active,db
3202125,/room/3202125,خانه ویلایی در بابلکنار - نزدیک مرزیکلا,مرزیکلا,بله,other,,ویلا,90,2000,0,2,4,4.9,17,4.9,4.9,4.9,4.8,4.9,4.9,2023-08-10,2026-08-26,,فخرالدین,2023-07-23,98,234,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),600000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ۱۲۰۰۰ در طبقه بالا,یک شعله بخاری گازی در طبقه پایین و یک شعله بخاری گازی در طبقه بالا,پذیرش (قانون صریح),,52.7451,36.3759,active,db
3202974,/room/3202974,ویلا تراس دار در جاده گنج افروز - درونکلا شرقی,درونکلا,بله,other,,آپارتمان، ویلا,150,7000,1,6,10,4.9,6,5,5,5,4.8,5,4.8,2023-09-23,2026-08-25,اقامتگاه خاص,عاطفه,2023-04-25,89,269,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),300000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ایستاده ۳۶۰۰۰ در پذیرایی,رادیاتور و بخاری برقی,,,52.7212,36.3843,active,db
3205914,/room/3205914,اجاره خانه روستایی در بابلکنار - سیادرکا,سیادرکا,بله,other,,خانه روستایی,80,500,1,3,6,4.9,9,4.8,5,5,4.9,5,4.7,2024-04-02,2026-07-04,,محمد,2023-09-17,25,115,1,,متوسط,دربست,250000,,,,,,,ذکر شده,مست و پارک جنگلی جوارم از جاذبه های دیدنی و گردشگری قابل دسترسی,,,,,یک دستگاه اسپیلت ۱۲۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی و یک دستگاه بخاری برقی,پذیرش (قانون صریح),,52.7516,36.3614,active,db
3209150,/room/3209150,خانه ویلایی در بابلکنار - درونکلا شرقی,درونکلا,بله,other,,خانه روستایی,90,1000,2,6,9,4.7,19,4.9,5,4.6,4.4,4.6,4.6,2023-10-23,2026-04-15,اقامتگاه پلاس,بطول,2023-10-09,84,527,1,,متوسط,private_room,150000,,,,,,,ذکر شده,مستر است با حیاطی درختکاری شده، سرسبز و دلباز با دسترسی حدود ۱۰,,ذکر شده,,,یک دستگاه اسپلیت ۳۰۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی و دو دستگاه بخاری برقی,,,52.7254,36.3846,active,db
3209639,/room/3209639,اجاره سوئیت حیاط دار در بابل - درازکلا,درازکلا,بله,other,,سوئیت، ویلا,70,200,1,4,6,4.7,16,4.8,5,3.8,4.8,5,4.8,2024-01-19,2026-08-27,اقامتگاه پلاس,محمد,2023-10-21,75,313,1,,متوسط,دربست,100000,,,,,ذکر شده,,ذکر شده,,,ذکر شده,,,یک دستگاه کولر پنجره ای ۲۴۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی,,,52.6904,36.3267,active,db
3210905,/room/3210905,خانه ویلایی در بابلکنار - درازکلا,درازکلا,بله,other,,ویلا,200,500,1,4,6,4,8,3.7,4.8,2.8,4.7,5,2.8,2023-12-13,2026-06-03,,امیر,2023-11-21,42,6,1,,متوسط,دربست,300000,,,,,,,ذکر شده,دنج در روستای درازکلا از منطقه بابلکنار و با فاصله حدود ۲۵ کیلو,,ذکر شده,,,,یک شعله بخاری گازی در پذیرایی و یک شعله در اتاق خواب,پذیرش (قانون صریح),,52.7177,36.3208,active,db
3214789,/room/3214789,ویلا در جاده گنج افروز - بالف کلا شرقی - و ۲,بالفکلا,بله,other,,کلبه، ویلا,80,200,1,4,8,4.2,21,4,4.5,4.1,4.1,4.4,4.1,2024-01-17,2026-08-08,,شهرام,2024-01-03,61,469,1,,سخت,دربست,300000,,,,,,,ذکر شده,دنج و سرسبز در روستای بالف کلا شرقی مسیر جاده گنج افروز واقع شد,,ذکر شده,,,یک دستگاه اسپلیت ۲۴۰۰۰ در پذیرایی,پکیج - رادیاتور,,,52.7512,36.3433,active,db، sweep
3214838,/room/3214838,ویلا در جاده گنج افروز - بالف کلا شرقی - و ۱,بالفکلا,بله,other,,کلبه، ویلا,80,200,1,4,8,4.2,2,3.5,4.5,4.5,3.5,5,4,2024-05-15,2025-06-16,,شهرام,2024-01-03,61,476,1,,سخت,مشترک (فضای مشترک با میزبان یا مهمان دیگر),300000,,,,,,,ذکر شده,دنج و سرسبز در روستای بالف کلا شرقی مسیر جاده گنج افروز واقع شد,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ۲۴۰۰۰ در پذیرایی,پکیج - رادیاتور,,,52.7512,36.3433,active,db، sweep
3214884,/room/3214884,خانه ویلایی در بابلکنار - ممرزکن,ممرزکن,بله,other,,کلبه,42,150,1,2,5,4.9,60,4.9,5,4.7,4.9,5,4.8,2024-01-10,2026-07-18,اقامتگاه پلاس,رحمان,2024-01-07,90,153,1,,سخت,دربست,395000,,,,,,,,,,ذکر شده,,,یک دستگاه اسپیلت 9000 در پذیرایی,یک شعله بخاری گازی در پذیرایی و یک دستگاه بخاری برقی در اتاق خواب,پذیرش (قانون صریح),,52.7008,36.264,active,corpus، db، sweep
3215121,/room/3215121,اجاره خانه ویلایی در بابلکنار - کلاریکلا,کلاریکلا,بله,other,,ویلا,120,600,2,4,12,4.6,23,4.7,4.7,4.4,4.4,4.8,4.7,2024-05-01,2026-08-29,اقامتگاه پلاس,امیر,2024-01-11,80,184,1,,متوسط,دربست,300000,,,,,,,ذکر شده,,,ذکر شده,,,یک دستگاه اسپیلت ۲۸۰۰۰ در پذیرایی و یک دستگاه کولر ۱۲۰۰۰ در اتاق خواب و یک پنکه ایستاده در اتاق خواب دوم,یک شعله بخاری گازی در پذیرایی و یک شعله بخاری گازی در هر اتاق خواب,پذیرش (قانون صریح),,52.7107,36.3624,active,db
